Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Mother tongue,              Sinhala (Sinhalese),NA,3280,NA,1605,,1675,,3280,NA,1605,,1675,
Mother tongue,              Urdu,NA,37420,NA,19005,,18420,,37420,NA,19005,,18420,
Mother tongue,            Iranian languages,NA,55190,NA,27895,,27295,,55190,NA,27895,,27295,
Mother tongue,              Kurdish,NA,1650,NA,930,,720,,1650,NA,930,,720,
Mother tongue,              Pashto,NA,4355,NA,2285,,2070,,4355,NA,2285,,2070,
Mother tongue,              Persian (Farsi),NA,49185,NA,24680,,24510,,49185,NA,24680,,24510,
Mother tongue,            Indo-Iranian languages; n.i.e.,NA,945,NA,520,,425,,945,NA,520,,425,
Mother tongue,          Italic (Romance) languages,NA,207445,NA,97980,,109465,,207445,NA,97980,,109465,
Mother tongue,            Catalan,NA,125,NA,70,,55,,125,NA,70,,55,
Mother tongue,            Italian,NA,62640,NA,29050,,33590,,62640,NA,29050,,33590,
Mother tongue,            Portuguese,NA,59355,NA,28540,,30820,,59355,NA,28540,,30820,
Mother tongue,            Romanian,NA,12335,NA,5630,,6705,,12335,NA,5630,,6705,
Mother tongue,            Spanish,NA,72850,NA,34635,,38215,,72850,NA,34635,,38215,
Mother tongue,            Italic (Romance) languages; n.i.e.,NA,135,NA,60,,75,,135,NA,60,,75,
Mother tongue,        Japanese,NA,7015,NA,2405,,4610,,7015,NA,2405,,4610,
Mother tongue,        Kartvelian languages,NA,870,NA,465,,400,,870,NA,465,,400,
Mother tongue,          Georgian,NA,870,NA,465,,400,,870,NA,465,,400,
Mother tongue,        Korean,NA,33665,NA,15155,,18505,,33665,NA,15155,,18505,
Mother tongue,        Mongolic languages,NA,290,NA,130,,165,,290,NA,130,,165,
Mother tongue,          Mongolian,NA,295,NA,130,,160,,295,NA,130,,160,
Mother tongue,        Niger-Congo languages,NA,13780,NA,6455,,7325,,13780,NA,6455,,7325,
Mother tongue,          Akan (Twi),NA,4340,NA,1970,,2375,,4340,NA,1970,,2375,
Mother tongue,          Bamanankan,NA,45,NA,25,,20,,45,NA,25,,20,
Mother tongue,          Edo,NA,670,NA,260,,410,,670,NA,260,,410,
Mother tongue,          Ewe,NA,175,NA,90,,80,,175,NA,90,,80,
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),NA,165,NA,85,,75,,165,NA,85,,75,
Mother tongue,          Ga,NA,200,NA,90,,115,,200,NA,90,,115,
Mother tongue,          Ganda,NA,375,NA,180,,200,,375,NA,180,,200,
Mother tongue,          Igbo,NA,740,NA,385,,355,,740,NA,385,,355,
Mother tongue,          Lingala,NA,285,NA,135,,150,,285,NA,135,,150,
Mother tongue,          Rundi (Kirundi),NA,270,NA,130,,135,,270,NA,130,,135,
Mother tongue,          Kinyarwanda (Rwanda),NA,285,NA,135,,150,,285,NA,135,,150,
Mother tongue,          Shona,NA,395,NA,185,,205,,395,NA,185,,205,
Mother tongue,          Swahili,NA,2230,NA,1050,,1185,,2230,NA,1050,,1185,
Mother tongue,          Wolof,NA,115,NA,65,,50,,115,NA,65,,50,
Mother tongue,          Yoruba,NA,1580,NA,820,,760,,1580,NA,820,,760,
Mother tongue,          Niger-Congo languages; n.i.e.,NA,1905,NA,845,,1055,,1905,NA,845,,1055,
Mother tongue,        Nilo-Saharan languages,NA,235,NA,125,,105,,235,NA,125,,105,
Mother tongue,          Dinka,NA,40,NA,20,,15,,40,NA,20,,15,
Mother tongue,          Nilo-Saharan languages; n.i.e.,NA,200,NA,105,,90,,200,NA,105,,90,
Mother tongue,        Sign languages,NA,565,NA,320,,245,,565,NA,320,,245,
Mother tongue,          American Sign Language,NA,210,NA,120,,90,,210,NA,120,,90,
Mother tongue,          Quebec Sign Language,NA,5,NA,0,,5,,5,NA,0,,5,
Mother tongue,          Sign languages; n.i.e,NA,350,NA,200,,150,,350,NA,200,,150,
Mother tongue,        Sino-Tibetan languages,NA,250960,NA,114630,,136330,,250960,NA,114630,,136330,
Mother tongue,          Chinese languages,NA,245285,NA,111855,,133430,,245285,NA,111855,,133430,
Mother tongue,            Cantonese,NA,114670,NA,52085,,62585,,114670,NA,52085,,62585,
Mother tongue,            Hakka,NA,2855,NA,1225,,1635,,2855,NA,1225,,1635,
Mother tongue,            Mandarin,NA,111405,NA,51120,,60280,,111405,NA,51120,,60280,
Mother tongue,            Min Dong,NA,450,NA,220,,225,,450,NA,220,,225,
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),NA,6120,NA,2820,,3300,,6120,NA,2820,,3300,
Mother tongue,            Wu (Shanghainese),NA,2665,NA,1200,,1470,,2665,NA,1200,,1470,
Mother tongue,            Chinese; n.o.s.,NA,7015,NA,3135,,3880,,7015,NA,3135,,3880,
Mother tongue,            Chinese languages; n.i.e.,NA,100,NA,50,,55,,100,NA,50,,55,
Mother tongue,          Tibeto-Burman languages,NA,5670,NA,2775,,2895,,5670,NA,2775,,2895,
Mother tongue,            Burmese,NA,610,NA,270,,335,,610,NA,270,,335,
Mother tongue,            Karenic languages,NA,255,NA,125,,135,,255,NA,125,,135,
Mother tongue,            Tibetan,NA,4590,NA,2275,,2320,,4590,NA,2275,,2320,
Mother tongue,            Tibeto-Burman languages; n.i.e.,NA,215,NA,110,,105,,215,NA,110,,105,
Mother tongue,        Tai-Kadai languages,NA,1720,NA,690,,1030,,1720,NA,690,,1030,
Mother tongue,          Lao,NA,710,NA,365,,340,,710,NA,365,,340,
Mother tongue,          Thai,NA,1005,NA,320,,685,,1005,NA,320,,685,
Mother tongue,          Tai-Kadai languages; n.i.e,NA,10,NA,0,,5,,10,NA,0,,5,
Mother tongue,        Turkic languages,NA,10680,NA,5610,,5065,,10680,NA,5610,,5065,
Mother tongue,          Azerbaijani,NA,915,NA,490,,420,,915,NA,490,,420,
Mother tongue,          Turkish,NA,8835,NA,4670,,4165,,8835,NA,4670,,4165,
Mother tongue,          Uyghur,NA,240,NA,120,,125,,240,NA,120,,125,
Mother tongue,          Uzbek,NA,440,NA,225,,210,,440,NA,225,,210,
Mother tongue,          Turkic languages; n.i.e.,NA,250,NA,110,,140,,250,NA,110,,140,
Mother tongue,        Uralic languages,NA,15145,NA,6655,,8485,,15145,NA,6655,,8485,
Mother tongue,          Estonian,NA,1940,NA,770,,1170,,1940,NA,770,,1170,
Mother tongue,          Finnish,NA,1315,NA,500,,825,,1315,NA,500,,825,
Mother tongue,          Hungarian,NA,11885,NA,5385,,6500,,11885,NA,5385,,6500,
Mother tongue,          Uralic languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Other languages; n.i.e.,NA,585,NA,310,,280,,585,NA,310,,280,
Mother tongue,  Multiple responses,NA,106190,NA,50685,,55500,,106190,NA,50685,,55500,
Mother tongue,    English and French,NA,7550,NA,3520,,4030,,7550,NA,3520,,4030,
Mother tongue,    English and non-official language,NA,92620,NA,44395,,48230,,92620,NA,44395,,48230,
Mother tongue,    French and non-official language,NA,3300,NA,1515,,1785,,3300,NA,1515,,1785,
Mother tongue,    English; French and non-official language,NA,2715,NA,1255,,1460,,2715,NA,1255,,1460,
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,19,2704415,NA,1301900,,1402510,,2704415,NA,1301900,,1402510,
Language spoken most often at home,  Single responses,NA,2458470,NA,1185800,,1272670,,2458470,NA,1185800,,1272670,
Language spoken most often at home,    Official languages,NA,1756685,NA,858655,,898030,,1756685,NA,858655,,898030,
Language spoken most often at home,      English,NA,1739625,NA,850750,,888875,,1739625,NA,850750,,888875,
Language spoken most often at home,      French,NA,17065,NA,7910,,9155,,17065,NA,7910,,9155,
Language spoken most often at home,    Non-official languages,NA,701785,NA,327145,,374640,,701785,NA,327145,,374640,
Language spoken most often at home,      Aboriginal languages,NA,110,NA,55,,55,,110,NA,55,,55,
Language spoken most often at home,        Algonquian languages,NA,55,NA,30,,25,,55,NA,30,,25,
Language spoken most often at home,          Blackfoot,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Cree-Montagnais languages,NA,15,NA,10,,10,,15,NA,10,,10,
Language spoken most often at home,            Atikamekw,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Montagnais (Innu),NA,5,NA,5,,0,,5,NA,5,,0,
Language spoken most often at home,            Moose Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Naskapi,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Northern East Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Plains Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Southern East Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Swampy Cree,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Woods Cree,NA,5,NA,0,,0,,5,NA,0,,0,
Language spoken most often at home,            Cree; n.o.s.,NA,10,NA,0,,10,,10,NA,0,,10,
Language spoken most often at home,          Eastern Algonquian languages,NA,5,NA,0,,0,,5,NA,0,,0,
Language spoken most often at home,            Malecite,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Mi'kmaq,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Ojibway-Potawatomi languages,NA,35,NA,20,,15,,35,NA,20,,15,
Language spoken most often at home,            Algonquin,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Ojibway,NA,35,NA,20,,10,,35,NA,20,,10,
Language spoken most often at home,            Oji-Cree,NA,0,NA,0,,5,,0,NA,0,,5,
Language spoken most often at home,            Ottawa (Odawa),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Algonquian languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Athabaskan languages,NA,5,NA,0,,0,,5,NA,0,,0,
Language spoken most often at home,          Northern Athabaskan languages,NA,5,NA,0,,0,,5,NA,0,,0,
Language spoken most often at home,            Babine (Wetsuwet'en),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Beaver,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Carrier,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Chilcotin,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Dene,NA,5,NA,5,,0,,5,NA,5,,0,
Language spoken most often at home,            Dogrib (Tlicho),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Gwich'in,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Sarsi (Sarcee),NA,5,NA,0,,5,,5,NA,0,,5,
Language spoken most often at home,            Sekani,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Slavey-Hare languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,              North Slavey (Hare),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,              South Slavey,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,              Slavey; n.o.s.,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Tahltan languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,              Kaska (Nahani),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,              Tahltan,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,            Tutchone languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,              Northern Tutchone,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,              Southern Tutchone,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Athabaskan languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Haida,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Inuit languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Inuinnaqtun (Inuvialuktun),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Inuktitut,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Inuit languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Iroquoian languages,NA,0,NA,0,,5,,0,NA,0,,5,
Language spoken most often at home,          Cayuga,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Mohawk,NA,5,NA,0,,5,,5,NA,0,,5,
Language spoken most often at home,          Oneida,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Iroquoian languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Kutenai,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Michif,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Salish languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Comox,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Halkomelem,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Lillooet,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Okanagan,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Shuswap (Secwepemctsin),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Squamish,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Straits,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Thompson (Ntlakapamux),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Salish languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Siouan languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Dakota,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Stoney,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Siouan languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Tlingit,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Tsimshian languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Gitxsan (Gitksan),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Nisga'a,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Tsimshian,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Wakashan languages,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Haisla,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Heiltsuk,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Kwakiutl (Kwak'wala),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Nuu-chah-nulth (Nootka),NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,          Wakashan languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Language spoken most often at home,        Aboriginal languages; n.o.s.,NA,40,NA,20,,20,,40,NA,20,,20,
Language spoken most often at home,      Non-Aboriginal languages,NA,701675,NA,327090,,374590,,701675,NA,327090,,374590,
Language spoken most often at home,        Afro-Asiatic languages,NA,36560,NA,17185,,19375,,36560,NA,17185,,19375,
Language spoken most often at home,          Berber languages,NA,40,NA,20,,20,,40,NA,20,,20,
Language spoken most often at home,            Kabyle,NA,20,NA,10,,10,,20,NA,10,,10,
Language spoken most often at home,            Berber languages; n.i.e.,NA,25,NA,10,,15,,25,NA,10,,15,
Language spoken most often at home,          Cushitic languages,NA,7495,NA,3140,,4350,,7495,NA,3140,,4350,
Language spoken most often at home,            Bilen,NA,40,NA,20,,25,,40,NA,20,,25,
Language spoken most often at home,            Oromo,NA,495,NA,230,,265,,495,NA,230,,265,
Language spoken most often at home,            Somali,NA,6930,NA,2880,,4050,,6930,NA,2880,,4050,
Language spoken most often at home,            Cushitic languages; n.i.e.,NA,30,NA,10,,15,,30,NA,10,,15,
Language spoken most often at home,          Semitic languages,NA,28920,NA,13970,,14955,,28920,NA,13970,,14955,
Language spoken most often at home,            Amharic,NA,3425,NA,1500,,1925,,3425,NA,1500,,1925,
Language spoken most often at home,            Arabic,NA,16485,NA,8210,,8280,,16485,NA,8210,,8280,
Language spoken most often at home,            Assyrian Neo-Aramaic,NA,3620,NA,1755,,1860,,3620,NA,1755,,1860,
Language spoken most often at home,            Chaldean Neo-Aramaic,NA,480,NA,240,,240,,480,NA,240,,240,
Language spoken most often at home,            Harari,NA,450,NA,200,,250,,450,NA,200,,250,
Language spoken most often at home,            Hebrew,NA,1610,NA,805,,810,,1610,NA,805,,810,
Language spoken most often at home,            Maltese,NA,430,NA,200,,230,,430,NA,200,,230,
Language spoken most often at home,            Tigrigna,NA,2250,NA,985,,1270,,2250,NA,985,,1270,
Language spoken most often at home,            Semitic languages; n.i.e.,NA,170,NA,85,,90,,170,NA,85,,90,
Language spoken most often at home,          Afro-Asiatic languages; n.i.e.,NA,110,NA,55,,50,,110,NA,55,,50,
Language spoken most often at home,        Austro-Asiatic languages,NA,17760,NA,8020,,9740,,17760,NA,8020,,9740,
Language spoken most often at home,          Khmer (Cambodian),NA,725,NA,305,,425,,725,NA,305,,425,
Language spoken most often at home,          Vietnamese,NA,17020,NA,7710,,9305,,17020,NA,7710,,9305,
Language spoken most often at home,          Austro-Asiatic languages; n.i.e,NA,10,NA,0,,5,,10,NA,0,,5,
Language spoken most often at home,        Austronesian languages,NA,48375,NA,20215,,28165,,48375,NA,20215,,28165,
Language spoken most often at home,          Bikol,NA,75,NA,30,,40,,75,NA,30,,40,
Language spoken most often at home,          Cebuano,NA,1320,NA,560,,760,,1320,NA,560,,760,
Language spoken most often at home,          Fijian,NA,5,NA,5,,0,,5,NA,5,,0,
Language spoken most often at home,          Hiligaynon,NA,615,NA,265,,355,,615,NA,265,,355,
Language spoken most often at home,          Ilocano,NA,2695,NA,1150,,1545,,2695,NA,1150,,1545,
Language spoken most often at home,          Malagasy,NA,5,NA,0,,0,,5,NA,0,,0,
Language spoken most often at home,          Malay,NA,575,NA,270,,300,,575,NA,270,,300,
Language spoken most often at home,          Pampangan (Kapampangan; Pampango),NA,215,NA,90,,120,,215,NA,90,,120,
Language spoken most often at home,          Pangasinan,NA,60,NA,30,,30,,60,NA,30,,30,
Language spoken most often at home,          Tagalog (Pilipino; Filipino),NA,42520,NA,17680,,24835,,42520,NA,17680,,24835,
Language spoken most often at home,          Waray-Waray,NA,60,NA,20,,40,,60,NA,20,,40,
Language spoken most often at home,          Austronesian languages; n.i.e.,NA,230,NA,105,,130,,230,NA,105,,130,
Language spoken most often at home,        Creole languages,NA,1530,NA,665,,865,,1530,NA,665,,865,
Language spoken most often at home,          Haitian Creole,NA,110,NA,50,,60,,110,NA,50,,60,
Language spoken most often at home,          Creole; n.o.s.,NA,1015,NA,430,,580,,1015,NA,430,,580,
Language spoken most often at home,          Creole languages; n.i.e.,NA,405,NA,175,,225,,405,NA,175,,225,
Language spoken most often at home,        Dravidian languages,NA,47065,NA,22840,,24225,,47065,NA,22840,,24225,
Language spoken most often at home,          Kannada,NA,290,NA,155,,135,,290,NA,155,,135,
Language spoken most often at home,          Malayalam,NA,2460,NA,1315,,1140,,2460,NA,1315,,1140,
Language spoken most often at home,          Tamil,NA,42015,NA,20085,,21930,,42015,NA,20085,,21930,
Language spoken most often at home,          Telugu,NA,2270,NA,1270,,1000,,2270,NA,1270,,1000,
Language spoken most often at home,          Dravidian languages; n.i.e.,NA,35,NA,15,,20,,35,NA,15,,20,
Language spoken most often at home,        Hmong-Mien languages,NA,5,NA,0,,0,,5,NA,0,,0,
